rank,tier,score,title,company,location,source,url,posted_at,signals
43,COLD,15,Technical Lead,PT Bank Sinarmas Tbk,"South Jakarta, Jakarta, Indonesia",linkedin,https://id.linkedin.com/jobs/view/technical-lead-at-pt-bank-sinarmas-tbk-4390102755,2026-03-25,title_tech
44,COLD,15,Technical Lead,Cordant,"Melbourne, Victoria, Australia",linkedin,https://au.linkedin.com/jobs/view/technical-lead-at-cordant-4387197934,2026-03-23,title_tech
45,COLD,15,Technical Services Manager,LinkedIn,"Bengaluru, Karnataka, India",linkedin,https://in.linkedin.com/jobs/view/technical-services-manager-at-linkedin-4389983565,2026-03-25,title_tech
46,COLD,15,Senior Software Engineering Manager - Systems and Infrastructure,LinkedIn,"Mountain View, CA",linkedin,https://www.linkedin.com/jobs/view/senior-software-engineering-manager-systems-and-infrastructure-at-linkedin-4390812294,2026-03-26,title_tech
47,COLD,15,Software Engineering Manager,SAMIR,"South Jakarta, Jakarta, Indonesia",linkedin,https://id.linkedin.com/jobs/view/software-engineering-manager-at-samir-4389994775,2026-03-25,title_tech
48,COLD,15,Technical Lead / Senior Software Engineer,Appian,Greater Sydney Area,linkedin,https://au.linkedin.com/jobs/view/technical-lead-senior-software-engineer-at-appian-4382839900,2026-03-21,title_tech
49,COLD,15,"Team Lead, Software Development",2C2P,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",linkedin,https://my.linkedin.com/jobs/view/team-lead-software-development-at-2c2p-4389469227,2026-03-24,title_tech
50,COLD,15,Software Team Lead,Brightsmith,"Munich, Bavaria, Germany",linkedin,https://de.linkedin.com/jobs/view/software-team-lead-at-brightsmith-4390158241,2026-03-25,title_tech
51,COLD,15,Vice President of Manufacturing & Engineering,SkyWater Search Partners,Greater Madison Area,linkedin,https://www.linkedin.com/jobs/view/vice-president-of-manufacturing-engineering-at-skywater-search-partners-4382184437,2026-03-06,title_tech
52,COLD,15,Senior Software Engineer,Inceed,"Boulder, CO",linkedin,https://www.linkedin.com/jobs/view/senior-software-engineer-at-inceed-4388947980,2026-03-23,title_tech
53,COLD,15,Senior Software Engineer,Cognite,"Bengaluru, Karnataka, India",linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-at-cognite-4346110070,2026-03-19,title_tech
54,COLD,15,"Vice President, Software Engineering",Experian,"Franklin, TN",linkedin,https://www.linkedin.com/jobs/view/vice-president-software-engineering-at-experian-4381699935,2026-03-06,title_tech
55,COLD,15,"Vice President, Laboratory Software Engineering",Natera,United States,linkedin,https://www.linkedin.com/jobs/view/vice-president-laboratory-software-engineering-at-natera-4380998257,2026-03-26,title_tech
56,COLD,15,"Vice President, Engineering and Advanced Manufacturing",Lensa,United States,linkedin,https://www.linkedin.com/jobs/view/vice-president-engineering-and-advanced-manufacturing-at-lensa-4390696686,2026-03-26,title_tech
57,COLD,15,Sr. Firmware Engineer,Sanctuary Computer,Worldwide,remotive,https://remotive.com/remote-jobs/software-development/sr-firmware-engineer-2088653,2026-03-13T15:14:23,title_tech
58,COLD,15,Tech Lead Databricks Data Engineer,Mitre Media,"USA, Canada, USA timezones",remotive,https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,2026-03-14T20:46:28,industry:fintech
59,COLD,15,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-03-14T20:46:36,industry:fintech
60,COLD,15,Senior Software Engineer,Zego,United Kingdom,linkedin,https://uk.linkedin.com/jobs/view/senior-software-engineer-at-zego-4312123660,2026-03-17,title_tech
61,COLD,15,Senior Software Engineer,Guardify,"Omaha, NE",linkedin,https://www.linkedin.com/jobs/view/senior-software-engineer-at-guardify-4389221946,2026-03-23,title_tech
62,COLD,15,Mid/Senior Software Engineer (Java),Revolut,United Arab Emirates,linkedin,https://ae.linkedin.com/jobs/view/mid-senior-software-engineer-java-at-revolut-4139859553,2026-03-17,title_tech
63,COLD,15,Software Solutions Architect,Coforge,"Madrid, Community of Madrid, Spain",linkedin,https://es.linkedin.com/jobs/view/software-solutions-architect-at-coforge-4373308185,2026-03-19,title_tech
64,COLD,15,Senior Software Engineer - Frontend (Full Stack),Cognite,"Bengaluru, Karnataka, India",linkedin,https://in.linkedin.com/jobs/view/senior-software-engineer-frontend-full-stack-at-cognite-4388198869,2026-03-20,title_tech
65,COLD,15,Senior Software Engineer (Remote) - Full Stack,ECP,"Chicago, IL",linkedin,https://www.linkedin.com/jobs/view/senior-software-engineer-remote-full-stack-at-ecp-4389091317,2026-03-23,title_tech
66,COLD,15,Senior Software Engineer,Zego,"Lisbon, Portugal",linkedin,https://pt.linkedin.com/jobs/view/senior-software-engineer-at-zego-4385461691,2026-03-19,title_tech
67,COLD,15,Senior Software Engineer,CyberArk,"Santa Clara, CA",linkedin,https://www.linkedin.com/jobs/view/senior-software-engineer-at-cyberark-4388992935,2026-03-23,title_tech
68,COLD,0,Audio AI Trainer,Anuttacon,Worldwide,remotive,https://remotive.com/remote-jobs/ai-ml/audio-ai-trainer-2087694,2026-03-12T21:00:56,
69,COLD,0,Office Assistant,Coalition Technologies,Worldwide,remotive,https://remotive.com/remote-jobs/marketing/office-assistant-1680495,2026-03-11T20:31:07,
70,COLD,0,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",remotive,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-03-16T10:16:00,"large_corp, title_tech"
